esn,country,localizedDeviceDescription,deviceDescription,ip,regionCodeDisplayName,ts
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.134.121,Washington,2019-10-11 15:45:07.450
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.37,Unknown,2019-10-11 15:13:22.436
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.134.69,Washington,2019-10-11 14:45:27.554
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.147.162,Washington,2019-10-11 12:16:09.772
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.137.196,Washington,2019-10-11 10:03:11.385
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.134.93,Washington,2019-10-11 09:16:17.679
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.130.228,Washington,2019-10-11 09:14:01.942
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.137.240,Washington,2019-10-11 09:13:37.755
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.130.228,Washington,2019-10-11 09:13:32.090
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.137.240,Washington,2019-10-11 09:13:03.295
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.130.220,Washington,2019-10-11 09:12:59.716
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.130.228,Washington,2019-10-11 09:12:40.515
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.137.240,Washington,2019-10-11 09:11:48.791
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.130.228,Washington,2019-10-11 09:10:47.485
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,102.132.140.145,Unknown,2019-10-10 21:10:35.298
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.15,Unknown,2019-10-10 15:20:54.910
NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,102.132.140.145,Unknown,2019-10-08 12:56:54.200
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.15,Unknown,2019-10-07 10:47:37.261
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.26,Unknown,2019-10-06 17:23:55.023
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.26,Unknown,2019-10-06 10:32:28.285
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.104,Unknown,2019-10-05 18:29:03.411
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.104,Unknown,2019-10-04 19:06:45.957
