Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Manuel,android,search,,,2020-10-06 21:28:46
Manuel,android,movieDetails,,,2020-10-06 21:28:46
Manuel,android,search,,,2020-10-06 21:28:40
Manuel,android,browseTitles,,,2020-10-06 21:28:39
Manuel,android,profilesGate,,,2020-10-06 21:28:31
Manuel,android,browseTitles,,,2020-10-06 21:28:31
Manuel,tvui,movieDetails,,,2020-10-06 21:27:42
Manuel,tvui,searchSuggestionTitleResults,,,2020-10-06 21:27:42
Manuel,tvui,searchSuggestionTitleResults,,,2020-10-06 21:27:35
Manuel,tvui,movieDetails,,,2020-10-06 21:27:35
Manuel,tvui,browseTitles,,,2020-10-06 21:27:26
Manuel,tvui,search,,,2020-10-06 21:27:26
Manuel,tvui,movieDetails,,,2020-10-06 21:26:34
Manuel,tvui,browseTitles,,,2020-10-06 21:26:34
Manuel,tvui,browseTitles,,,2020-10-06 21:26:05
Manuel,tvui,movieDetails,,,2020-10-06 21:26:05
Manuel,tvui,profilesGate,,,2020-10-06 21:25:59
Manuel,tvui,browseTitles,,,2020-10-06 21:25:59
Manuel,tvui,movieDetails,,,2020-10-06 17:40:31
Manuel,tvui,playback,,,2020-10-06 17:40:31
Manuel,tvui,playback,,,2020-10-06 17:40:31
Manuel,tvui,playback,,,2020-10-06 17:40:31
Manuel,tvui,browseTitles,,,2020-10-06 17:40:15
Manuel,tvui,movieDetails,,,2020-10-06 17:40:15
Manuel,tvui,movieDetails,,,2020-10-06 17:40:09
Manuel,tvui,browseTitles,,,2020-10-06 17:40:09
Manuel,tvui,browseTitles,,,2020-10-06 17:40:07
Manuel,tvui,movieDetails,,,2020-10-06 17:40:07
Manuel,tvui,profilesGate,,,2020-10-06 17:39:36
Manuel,tvui,browseTitles,,,2020-10-06 17:39:36
Manuel,tvui,postPlay,,,2020-10-04 20:29:05
Manuel,tvui,playback,,,2020-10-04 20:29:05
Manuel,tvui,playback,,,2020-10-04 20:28:59
Manuel,tvui,postPlay,,,2020-10-04 20:28:59
Manuel,tvui,movieDetails,,,2020-10-04 20:12:48
Manuel,tvui,playback,,,2020-10-04 20:12:48
Manuel,tvui,browseTitles,,,2020-10-04 20:12:45
Manuel,tvui,movieDetails,,,2020-10-04 20:12:45
Manuel,tvui,movieDetails,,,2020-10-04 20:12:41
Manuel,tvui,browseTitles,,,2020-10-04 20:12:41
Manuel,tvui,postPlay,,,2020-10-04 20:12:36
Manuel,tvui,movieDetails,,,2020-10-04 20:12:36
Manuel,tvui,playback,,,2020-10-04 20:11:59
Manuel,tvui,postPlay,,,2020-10-04 20:11:59
Manuel,tvui,movieDetails,,,2020-10-04 20:05:36
Manuel,tvui,playback,,,2020-10-04 20:05:36
Manuel,tvui,browseTitles,,,2020-10-04 20:05:30
Manuel,tvui,movieDetails,,,2020-10-04 20:05:30
Manuel,tvui,profilesGate,,,2020-10-04 20:05:23
Manuel,tvui,browseTitles,,,2020-10-04 20:05:23
Manuel,tvui,postPlay,,,2020-10-03 21:41:30
Manuel,tvui,playback,,,2020-10-03 21:41:30
Manuel,tvui,playback,,,2020-10-03 21:41:24
Manuel,tvui,postPlay,,,2020-10-03 21:41:24
Manuel,tvui,movieDetails,,,2020-10-03 21:13:30
Manuel,tvui,playback,,,2020-10-03 21:13:30
Manuel,tvui,browseTitles,,,2020-10-03 21:13:28
Manuel,tvui,movieDetails,,,2020-10-03 21:13:28
Manuel,tvui,profilesGate,,,2020-10-03 21:11:21
Manuel,tvui,browseTitles,,,2020-10-03 21:11:21
Manuel,tvui,postPlay,,,2020-10-03 00:15:09
Manuel,tvui,playback,,,2020-10-03 00:15:09
Manuel,tvui,playback,,,2020-10-03 00:15:04
Manuel,tvui,postPlay,,,2020-10-03 00:15:04
Manuel,tvui,movieDetails,,,2020-10-02 23:32:54
Manuel,tvui,playback,,,2020-10-02 23:32:54
Manuel,tvui,browseTitles,,,2020-10-02 23:32:53
Manuel,tvui,movieDetails,,,2020-10-02 23:32:53
Manuel,tvui,profilesGate,,,2020-10-02 23:32:48
Manuel,tvui,browseTitles,,,2020-10-02 23:32:48
Manuel,tvui,playback,,,2020-10-01 22:17:34
Manuel,tvui,postPlay,,,2020-10-01 22:17:34
Manuel,tvui,playback,,,2020-10-01 22:17:28
Manuel,tvui,postPlay,,,2020-10-01 22:17:28
Manuel,tvui,postPlay,,,2020-10-01 21:32:28
Manuel,tvui,playback,,,2020-10-01 21:32:28
Manuel,tvui,playback,,,2020-10-01 21:32:22
Manuel,tvui,postPlay,,,2020-10-01 21:32:22
Manuel,tvui,playback,,,2020-10-01 20:50:42
Manuel,tvui,movieDetails,,,2020-10-01 20:50:42
Manuel,tvui,browseTitles,,,2020-10-01 20:50:41
Manuel,tvui,movieDetails,,,2020-10-01 20:50:41
Manuel,tvui,profilesGate,,,2020-10-01 20:50:35
Manuel,tvui,browseTitles,,,2020-10-01 20:50:35
Manuel,tvui,playback,,,2020-10-01 18:40:58
Manuel,tvui,movieDetails,,,2020-10-01 18:40:58
Manuel,tvui,movieDetails,,,2020-10-01 18:40:58
Manuel,tvui,browseTitles,,,2020-10-01 18:40:58
Manuel,tvui,postPlay,,,2020-10-01 18:29:24
Manuel,tvui,playback,,,2020-10-01 18:29:24
Manuel,tvui,playback,,,2020-10-01 18:29:21
Manuel,tvui,postPlay,,,2020-10-01 18:29:21
Manuel,tvui,movieDetails,,,2020-10-01 18:24:11
Manuel,tvui,playback,,,2020-10-01 18:24:11
Manuel,tvui,browseTitles,,,2020-10-01 18:24:10
Manuel,tvui,movieDetails,,,2020-10-01 18:24:10
Manuel,tvui,browseTitles,,,2020-10-01 18:24:06
Manuel,tvui,movieDetails,,,2020-10-01 18:24:06
Manuel,tvui,playback,,,2020-10-01 18:24:05
Manuel,tvui,movieDetails,,,2020-10-01 18:24:05
Manuel,tvui,movieDetails,,,2020-10-01 18:23:45
Manuel,tvui,playback,,,2020-10-01 18:23:45
Manuel,tvui,browseTitles,,,2020-10-01 18:23:43
Manuel,tvui,movieDetails,,,2020-10-01 18:23:43
Manuel,tvui,browseTitles,,,2020-10-01 18:23:28
Manuel,tvui,movieDetails,,,2020-10-01 18:23:27
Manuel,tvui,browseTitles,,,2020-10-01 18:23:25
Manuel,tvui,movieDetails,,,2020-10-01 18:23:25
Manuel,tvui,profilesGate,,,2020-10-01 18:23:05
Manuel,tvui,browseTitles,,,2020-10-01 18:23:05
Manuel,tvui,postPlay,,,2020-09-30 22:21:47
Manuel,tvui,playback,,,2020-09-30 22:21:47
Manuel,tvui,playback,,,2020-09-30 22:21:42
Manuel,tvui,postPlay,,,2020-09-30 22:21:42
Manuel,tvui,postPlay,,,2020-09-30 21:36:08
Manuel,tvui,playback,,,2020-09-30 21:36:08
Manuel,tvui,playback,,,2020-09-30 21:36:02
Manuel,tvui,postPlay,,,2020-09-30 21:36:02
Manuel,tvui,playback,,,2020-09-30 20:45:58
Manuel,tvui,movieDetails,,,2020-09-30 20:45:58
Manuel,tvui,browseTitles,,,2020-09-30 20:45:56
Manuel,tvui,movieDetails,,,2020-09-30 20:45:56
Manuel,tvui,profilesGate,,,2020-09-30 20:45:50
Manuel,tvui,browseTitles,,,2020-09-30 20:45:50
Manuel,tvui,browseTitles,,,2020-09-30 19:13:59
